year,month,day,time,temp
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,36
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,36
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,36
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,36
18-10-201,18-10-201,18-10-201,1:02,36
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,36
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:01,37
18-10-201,18-10-201,18-10-201,1:01,37
18-10-201,18-10-201,18-10-201,1:01,37
18-10-201,18-10-201,18-10-201,1:01,37
18-10-201,18-10-201,18-10-201,1:01,37
18-10-201,18-10-201,18-10-201,1:01,37
18-10-201,18-10-201,18-10-201,1:01,37
18-10-201,18-10-201,18-10-201,1:01,37
18-10-201,18-10-201,18-10-201,1:01,37
18-10-201,18-10-201,18-10-201,1:01,37
18-10-201,18-10-201,18-10-201,1:01,37
18-10-201,18-10-201,18-10-201,1:01,37
18-10-201,18-10-201,18-10-201,1:01,37
18-10-201,18-10-201,18-10-201,1:01,37
18-10-201,18-10-201,18-10-201,1:01,37
18-10-201,18-10-201,18-10-201,1:01,37
18-10-201,18-10-201,18-10-201,1:01,37
18-10-201,18-10-201,18-10-201,1:01,37
18-10-201,18-10-201,18-10-201,1:01,37
18-10-201,18-10-201,18-10-201,1:01,37
18-10-201,18-10-201,18-10-201,1:01,33
18-10-201,18-10-201,18-10-201,1:01,37
18-10-201,18-10-201,18-10-201,1:01,37
18-10-201,18-10-201,18-10-201,1:01,37
18-10-201,18-10-201,18-10-201,1:01,37
18-10-201,18-10-201,18-10-201,1:01,37
18-10-201,18-10-201,18-10-201,1:01,37
18-10-201,18-10-201,18-10-201,1:01,37
18-10-201,18-10-201,18-10-201,1:01,37
18-10-201,18-10-201,18-10-201,1:01,37
